item_id,template_id
196722,43275.
196723,43275.
196724,43275.
196725,43275
196726,43275.
196727,43275.
196728,43279.
196729,43279.
196730,43279.
196731,43279.
196732,43279.
196733,43279.
196734,43279.
196735,43279.
196736,43279.
196737,43279.
196738,43279.
196739,43279.
196740,43279.
196741,43279.
196742,43286.
196743,43286.
196744,43286.
196745,43286.
196746,43286.
196747,43286.
196748,43286.
196749,43287.
196750,43287.
196751,43287.
196752,43287.
196753,43287.
196754,43287.
196755,43287.
203020,43275.
203021,43275.
203022,43275.
203023,43275.
203024,43275.
203025,43275.
203026,43275.
203027,43286.
203028,43286.
203029,43286.
203030,43286.
203031,43286.
203032,43286.
203033,43286.
203034,43287.
203035,43287.
203036,43287.
203037,43287.
203038,43287.
203039,43287.
203040,43287.
203041,43298.
203042,43298.
203043,43298.
203044,43298.
203045,43298.
203046,43298.
203047,43298.
203048,43298.
203049,43298.
203050,43298.
203051,43298.
203052,43298.
203053,43298.
203054,43298.
188131,41105.
188132,41105.
188133,41105.
188134,41105.
188135,41105.
188136,41105.
188137,41105.
188138,41105.
188139,41105.
188140,41105.
188141,41105.
188142,41105.
188143,41105.
188144,41105.
188145,41108.
188146,41108.
188147,41108.
188148,41108.
188149,41108.
188150,41108.
188151,41108.
188152,41108.
188153,41108.
188154,41108.
188155,41108.
188156,41108.
188157,41108.
188158,41108.
188173,41604.
188174,41604.
188175,41604.
188176,41604.
188177,41604.
188178,41604.
188179,41604.
188180,41604.
188181,41604.
188182,41604.
188183,41604.
188184,41604.
188185,41604.
188186,41604.
188215,41611.
188216,41611.
188217,41611.
188218,41611.
188219,41611.
188220,41611.
188221,41611.
188222,41611.
188223,41611.
188224,41611.
188225,41611.
188226,41611.
188227,41611.
188228,41611.
188187,41612.
188188,41612.
188189,41612.
188190,41612.
188191,41612.
188192,41612.
188193,41612.
189619,41612.
188194,41612.
188195,41612.
188196,41612.
188197,41612.
188198,41612.
188199,41612.
188200,41612.
188201,41613.
188202,41613.
188203,41613.
188204,41613.
188205,41613.
188206,41613.
188207,41613.
188208,41613.
188209,41613.
188210,41613.
188211,41613.
188212,41613.
188213,41613.
188214,41613.
210563,41801.
210564,41801.
210565,41801.
210566,41801.
210567,41801.
210568,41801.
210569,41801.
210577,42008.
210578,42008.
210579,42008.
210580,42008.
210581,42008.
210582,42008.
210583,42008.
210570,42008.
210571,42008.
210572,42008.
210573,42008.
210576,42008.
210430,5009.
210431,5009.
210433,5009.
210434,5009.
210435,5009.
210436,5009.
210423,5009.
210424,5009.
210425,5009.
210426,5009.
210427,5009.
210428,5009.
210429,5009.
210444,5013.
210445,5013.
210446,5013.
210447,5013.
210448,5013.
210449,5013.
210450,5013.
210438,5013.
210439,5013.
210440,5013.
210441,5013.
210442,5013.
210443,5013.
210458,5017.
210460,5017.
210461,5017.
210462,5017.
210463,5017.
210464,5017.
210451,5017.
210452,5017.
210453,5017.
210454,5017.
210455,5017.
210456,5017.
210457,5017.
188243,9004.
188244,9004.
188245,9004.
188246,9004.
188247,9004.
188248,9004.
188249,9004.
188250,9004.
188251,9004.
188252,9004.
188253,9004.
188254,9004.
188255,9004.
188256,9004.
188271,9330.
188272,9330.
188273,9330.
188274,9330.
188275,9330.
188276,9330.
188277,9330.
188278,9330.
188279,9330.
188280,9330.
188281,9330.
188282,9330.
188283,9330.
188284,9330.
188285,9331.
188286,9331.
188287,9331.
188288,9331.
188289,9331.
188290,9331.
188291,9331.
188292,9331.
188293,9331.
188294,9331.
188295,9331.
188296,9331.
188297,9331.
188298,9331.
188299,9332.
188300,9332.
188301,9332.
188302,9332.
188303,9332.
188304,9332.
188305,9332.
188306,9332.
188307,9332.
188308,9332.
188309,9332.
188310,9332.
188311,9332.
188312,9332.
188313,9335.
188314,9335.
188315,9335.
188316,9335.
188317,9335.
188318,9335.
188319,9335.
188320,9335.
188321,9335.
188322,9335.
188323,9335.
188324,9335.
188325,9335.
188326,9335.
210416,4302.
210417,4302.
210418,4302.
210419,4302.
210420,4302.
210421,4302.
210422,4302.
210409,4302.
210410,4302.
210411,4302.
210412,4302.
210413,4302.
210414,4302.
210415,4302.
210388,4316.
210389,4316.
210390,4316.
210391,4316.
210392,4316.
210393,4316.
210394,4316.
210381,4316.
210382,4316.
210383,4316.
210384,4316.
210385,4316.
210386,4316.
210387,4316.
188383,9334.
188384,9334.
188385,9334.
188386,9334.
188387,9334.
188388,9334.
188389,9334.
188390,9334.
188391,9334.
188392,9334.
188393,9334.
188394,9334.
188395,9334.
188396,9334.
188397,9338.
188398,9338.
188399,9338.
188400,9338.
188401,9338.
188402,9338.
188403,9338.
188404,9338.
188405,9338.
188406,9338.
188407,9338.
188408,9338.
188409,9338.
188410,9338.
210402,4317.
210403,4317.
210404,4317.
210405,4317.
210406,4317.
210407,4317.
210408,4317.
210395,4317.
210396,4317.
210397,4317.
210398,4317.
210399,4317.
210400,4317.
210401,4317.
230490,43205.
230491,43205.
230492,43205.
230493,43205.
230494,43205.
230495,43205.
